名称;値
CityCode;市区町村コード
Address;所在・番地
LandCategoryCode;地目コード
LandCategory;地目
Area;面積
AgriculturalVibrationMethodClassificationCode;農振法区分コード
AgriculturalVibrationMethodClassification;農振法区分
CityPlanningActClassificationCode;都市計画法区分コード
CityPlanningActClassification;都市計画法区分
IntentionOwnerAgriculturalLandCode;所有者の農地に関する意向コード
IntentionOwnerAgriculturalLand;所有者の農地に関する意向
FarmerNumber;耕作者整理番号
RightClassificationCode;権利の種類コード
RightClassification;権利の種類
StartDuration;存続期間始期
EndDuration;存続期間終期
FarmlandIntermediaryManagementStatusCode;農地中間管理権の状況コード
FarmlandIntermediaryManagementStatus;農地中間管理権の状況
IsIdleAgriculturalLandCode;遊休農地かどうかコード
IsIdleAgriculturalLand;遊休農地かどうか
DescriptiveStudyData;利用状況調査日
OwnerAssuranceStatusCode;所在者等の確知の状況コード
OwnerAssuranceStatus;所在者等の確知の状況
OwnerAssurancePublicNoticeDate;所在地等の確知できない旨の公示を行った日
IntentionOwnerIdleAgriculturalLandCode;遊休農地の所有者等の意向コード
IntentionOwnerIdleAgriculturalLand;遊休農地の所有者等の意向
UseIntentionSurveyData;利用意向調査日
FarmlandIntermediaryManagementInstitutionRecommendedDate;農地中間管理機構との協議の勧告日
FarmlandIntermediaryManagementInstitutionArbitrationDate;農地中間管理権を設定すべき旨の知事裁定日
MeasuresDate;措置命令日
MayorOfTheMunicipalityMeasuresPublicNoticeDate;所有者等の確知できない場合に市町村長が措置を行う旨の公示を行った日
JurisdictionAgricultureCommitteeName;所管農業委員会等名
